,nome,sobrenome,nome_completo,ano,nivel_ensino,idade,cpf,id,turma
188,Michelle,Thompson,Michelle Thompson,sexto,ef,11,43973753366,189,1
189,Tony,Payne,Tony Payne,segundo_em,em,16,16752260716,190,2
190,Julia,Watson,Julia Watson,terceiro_em,em,17,33541306854,191,3
191,Victoria,Robinson,Victoria Robinson,segundo_em,em,16,43604531270,192,2
192,Walter,Barrett,Walter Barrett,setimo,ef,12,59161925826,193,2
193,Tess,Owens,Tess Owens,oitavo,ef,13,27940803812,194,4
194,Sarah,Jones,Sarah Jones,segundo_em,em,16,99886220814,195,2
195,Sienna,Turner,Sienna Turner,setimo,ef,12,2658202846,196,1
196,Connie,Henderson,Connie Henderson,segundo_em,em,16,92852058642,197,3
197,Sydney,Elliott,Sydney Elliott,sexto,ef,11,23657321286,198,3
198,Kristian,Johnson,Kristian Johnson,terceiro_em,em,17,53819784966,199,1
199,Aiden,Murphy,Aiden Murphy,segundo_em,em,16,18649365482,200,1
200,Dani,Tavares,,nono,ef,13,72776291812,202,3
201,Dani,Tavares,,nono,ef,13,72776291812,203,3
202,Pati,Tavar,Pati Tavar,nono,ef,13,72776291812,204,2
203,Raquel II,Forever II,Raquel IIForever II,nono,ef,13,72776291812,205,1
